Name,Type,Score
xiaomi 22071212ag,android,0.08662046550357924
lge lm-v600,android,0.0866070349329143
xiaomi m2011k2c,android,0.08658688907691688
samsung sm-g990e,android,0.0864525833702674
motorola xt2125-4,android,0.08625784009562566
samsung sm-g990u,android,0.0858884994023396
sharp aquos r5g,android,0.08583477711967981
xiaomi 2107113sr,android,0.0857877701223525
samsung sm-g990w,android,0.08568032555703292
oppo cph2307,android,0.08559974213304324
samsung sm-g990b2,android,0.08557959627704581
samsung sm-g990u2,android,0.08554601985038345
samsung sm-s901n,android,0.0854788669970587
samsung galaxy tab s7 5g,android,0.08544529057039633
vivo v2145,android,0.08529755429308192
motorola edge 30 fusion,android,0.08528412372241696
lenovo tb-9707f,android,0.08527740843708449
samsung sm-f711u1,android,0.08521697086909223
xiaomi 2107113sg,android,0.08508938044777523
oneplus cph2399,android,0.08474690089581906
oppo cph2173,android,0.08466631747182937
samsung sm-t975,android,0.08465288690116443
motorola edge plus,android,0.08464617161583196
xiaomi m2012k11g,android,0.08459916461850464
samsung galaxy tab s7,android,0.08448500476785259
lenovo tb-q706f,android,0.08438427548786548
samsung galaxy s20 plus 5g (exynos),android,0.08425668506654847
samsung sm-f721w,android,0.08420296278388868
oneplus opd2203,android,0.08418953221322374
amd ryzen 5 2400g,desktop,0.08418281692789127
asus asus_i005da,android,0.08406194179190674
oneplus mt2111,android,0.08400821950924695
samsung galaxy note20 5g (exynos),android,0.08391420551459232
oneplus 8 5g,android,0.08388734437326242
motorola edge 20 pro,android,0.08378661509327531
intel core i3-9100f @ 3.60ghz,desktop,0.08376646923727789
apple iphone 11 pro,ios,0.08373289281061552
xiaomi 23043rp34g,android,0.08370603166928563
xiaomi m2011k2g,android,0.0836388788159609
asus asus_i005dc,android,0.083612017674631
motorola moto g(100),android,0.08355829539197121
oneplus 8t+ 5g,android,0.08354486482130626
asus rog phone 3,android,0.08354486482130626
samsung sm-g990b,android,0.08349785782397894
samsung galaxy z fold2,android,0.08347099668264904
samsung galaxy s20 plus (exynos),android,0.08346428139731657
intel core i7-8650u @ 1.90ghz,laptop,0.0834575661119841
samsung sm-g990u1,android,0.08344413554131914
xiaomi m2105k81ac,android,0.08343742025598667
xiaomi m2007j3sc,android,0.08342398968532173
samsung sm-n985f,android,0.08334340626133205
nubia red magic 5g,android,0.08330982983466967
samsung galaxy s20 5g (exynos),android,0.08330982983466967
samsung galaxy tab s7+,android,0.08326282283734236
apple ipad mini 5 (cellular),ios,0.08322253112534751
intel core i5-1035g1 @ 1.00ghz,laptop,0.08319566998401762
intel core i7-7700hq @ 2.80ghz,laptop,0.08318223941335268
infinix x6739,android,0.08314194770135783
samsung sm-t970,android,0.08314194770135783
samsung galaxy s20 ultra 5g (exynos),android,0.08310837127469546
oneplus 8,android,0.08304121842137073
realme rmx2202,android,0.08302778785070578
xiaomi redmi k30 pro,android,0.08301435728004083
xiaomi poco f2 pro,android,0.08299421142404341
xiaomi m2102k1ac,android,0.08283975986139651
samsung sm-g998n,android,0.08282632929073157
samsung galaxy note 20 ultra 5g (snapdragon),android,0.08272560001074446
intel core i7-8565u @ 1.80ghz,laptop,0.0827121694400795
realme rmx3311,android,0.08265173187208724
xiaomi m2102k1c,android,0.08254428730676766
intel core i5-4690k @ 3.50ghz,desktop,0.08243684274144808
samsung galaxy note20 5g (snapdragon),android,0.08239655102945324
apple ipad air 3 (cellular),ios,0.08233611346146098
realme rmx3312,android,0.08226224532280377
lenovo tb-j716f,android,0.08218166189881408
oneplus 8t,android,0.08218166189881408
lenovo tb132fu,android,0.08216823132814913
xiaomi 21081111rg,android,0.08210779376015687
blackshark shark kle-h0,android,0.08193991162684502
oneplus dn2103,android,0.08193991162684502
samsung sm-g9980,android,0.08186604348818781
realme x50 pro 5g,android,0.08185932820285534
xiaomi m2012k11ac,android,0.08185261291752287
samsung galaxy s20 plus 5g (snapdragon),android,0.08179889063486308
oneplus 8 pro,android,0.08173845306687082
samsung galaxy s20 fe 5g (snapdragon),android,0.08171830721087339
samsung galaxy s20 5g (snapdragon),android,0.08168473078421103
apple ipad air 3 (wifi),ios,0.08167801549887854
apple ipad mini 5 (wifi),ios,0.08157057093355896
infinix x6710,android,0.08131539009092496
tecno ck8n,android,0.08131539009092496
samsung galaxy note 20 ultra 5g (exynos),android,0.08130867480559249
xiaomi mi 10t pro 5g (various models),android,0.08123480666693528
apple ipad 8 (cellular),ios,0.08122137609627034
samsung sm-t976b,android,0.08117436909894302
apple iphone 11 pro max,ios,0.08104677867762601
apple ipad 8 (wifi),ios,0.08092590354164149
samsung sm-g780g,android,0.08089232711497911
intel core i5-6600k @ 3.50ghz,desktop,0.08077816726432706
samsung sm-g960n,android,0.08077145197899459
oppo find x2 pro,android,0.08077145197899459
samsung scg01,android,0.08074459083766469
xiaomi 22041216i,android,0.08073787555233222
xiaomi 22041216c,android,0.08034838900304873
asus zenfone 7,android,0.08026109029372658
oppo cph2249,android,0.08017379158440442
xiaomi m2012k11ag,android,0.08009320816041474
asus asus_i005d,android,0.07975072860845857
samsung sm-n980f,android,0.07970372161113126
sony xperia 1 ii,android,0.07969029104046631
intel core i7-8550u @ 1.80ghz,laptop,0.07962985347247405
oneplus le2101,android,0.07959627704581168
xiaomi 22021211rg,android,0.07957613118981426
samsung sm-g780f,android,0.07943511019783231
zte a2322g,android,0.07899861665122151
oppo cph2247,android,0.07885759565923955
xiaomi in2023,android,0.07885088037390708
